City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,victoria,22.2855,114.1577,21.08,86,95,1.79,HK,1675647602
1,dubrovnik,42.6481,18.0922,0.8,29,0,16.98,HR,1675648180
2,ipixuna,-1.7625,-48.8043,22.74,97,98,1.22,BR,1675648181
3,tasiilaq,65.6145,-37.6368,-3.91,94,100,2.44,GL,1675648096
4,kapaa,22.0752,-159.319,26.18,81,100,4.12,US,1675648181
5,malanje,-9.5402,16.341,17.11,92,100,1.43,AO,1675648181
6,olinda,-8.0089,-34.8553,27.85,74,20,1.54,BR,1675647745
7,cidreira,-30.1811,-50.2056,22.29,82,100,3.11,BR,1675648182
8,hermanus,-34.4187,19.2345,21.56,88,34,5.62,ZA,1675648182
9,punta arenas,-53.15,-70.9167,10.06,71,75,9.77,CL,1675648182
10,pevek,69.7008,170.3133,-37.02,99,96,1.73,RU,1675648182
11,qaanaaq,77.484,-69.3632,-20.2,55,56,2.16,GL,1675648183
12,mizan teferi,6.9833,35.5833,19.01,53,62,1.09,ET,1675648183
13,ushuaia,-54.8,-68.3,6.81,65,40,9.26,AR,1675648156
14,onega,63.9061,38.1404,-13.93,98,97,2.09,RU,1675648183
15,hilo,19.7297,-155.09,26.27,84,75,3.09,US,1675648165
16,shimoda,34.6667,138.95,11.2,41,99,4.13,JP,1675648184
17,souillac,-20.5167,57.5167,25.21,88,40,1.54,MU,1675648184
18,beringovskiy,63.05,179.3167,-27.27,93,95,5.07,RU,1675648184
19,alice springs,-23.7,133.8833,29.75,14,1,6.17,AU,1675648185
20,port hueneme,34.1478,-119.1951,15.53,68,0,10.8,US,1675648185
21,ewa beach,21.3156,-158.0072,27.97,64,20,6.69,US,1675648185
22,rikitea,-23.1203,-134.9692,25.99,76,3,6.83,PF,1675648185
23,mar del plata,-38.0023,-57.5575,26.01,57,0,4.63,AR,1675648186
24,rawson,-43.3002,-65.1023,17.44,62,80,7.98,AR,1675648164
25,aquiraz,-3.9014,-38.3911,27.05,85,38,3.22,BR,1675648186
26,poum,-20.2333,164.0167,29.0,78,93,7.63,NC,1675648186
27,arraial do cabo,-22.9661,-42.0278,23.19,93,75,3.53,BR,1675648187
28,kerema,-7.9631,145.7785,26.87,87,84,5.0,PG,1675648187
29,vaini,-21.2,-175.2,28.09,74,40,3.09,TO,1675648137
30,esperance,-33.8667,121.9,27.97,40,62,7.34,AU,1675648187
31,airai,-8.9266,125.4092,20.91,73,82,1.6,TL,1675648188
32,quatre cocos,-20.2078,57.7625,25.61,78,93,4.67,MU,1675648188
33,lamont,35.2597,-118.9143,11.15,76,62,7.18,US,1675648188
34,aksu,41.1231,80.2644,-5.79,80,100,0.96,CN,1675648188
35,chuy,-33.6971,-53.4616,18.49,82,0,1.4,UY,1675648114
36,morondava,-20.2833,44.2833,24.17,88,87,5.83,MG,1675648189
37,takaungu,-3.6837,39.8566,23.95,84,29,1.52,KE,1675648189
38,norman wells,65.282,-126.8329,-25.98,76,100,0.0,CA,1675648189
39,thompson,55.7435,-97.8558,-13.91,85,100,2.06,CA,1675647940
40,lavrentiya,65.5833,-171.0,-20.4,89,99,4.19,RU,1675648190
41,inirida,3.8653,-67.9239,22.04,98,59,0.36,CO,1675648190
42,bethel,41.3712,-73.414,5.21,69,0,0.0,US,1675648190
43,wadi musa,30.3222,35.4793,4.79,55,1,8.28,JO,1675648190
44,albany,42.6001,-73.9662,4.23,62,100,1.77,US,1675647933
45,gushikawa,26.3544,127.8686,20.57,98,75,2.57,JP,1675648191
46,amga,60.8953,131.9608,-36.91,99,100,0.64,RU,1675648191
47,dakar,14.6937,-17.4441,18.49,69,55,9.09,SN,1675648191
48,kununurra,-15.7667,128.7333,32.99,43,59,2.06,AU,1675648192
49,hobart,-42.8794,147.3294,22.37,54,75,8.23,AU,1675648057
50,ribeira grande,38.5167,-28.7,16.54,92,100,6.71,PT,1675648192
51,kodiak,57.79,-152.4072,2.73,100,100,2.06,US,1675648192
52,barrow,71.2906,-156.7887,-27.99,76,100,1.54,US,1675648193
53,bluff,-46.6,168.3333,15.72,76,66,10.81,NZ,1675648193
54,maesteg,51.6093,-3.6582,3.04,88,24,2.32,GB,1675648193
55,villagarzon,1.0375,-76.6267,21.48,94,98,1.86,CO,1675648193
56,mataura,-46.1927,168.8643,19.2,57,98,5.13,NZ,1675647951
57,turukhansk,65.8167,87.9833,-19.74,100,98,1.26,RU,1675648194
58,saldanha,-33.0117,17.9442,17.92,92,0,3.55,ZA,1675648194
59,ascension,30.2169,-90.9001,15.01,80,0,0.0,US,1675648194
60,telimele,10.9167,-13.3333,20.58,59,96,1.42,GN,1675648195
61,ahipara,-35.1667,173.1667,20.37,93,94,1.85,NZ,1675648195
62,vermilion,40.1667,-87.7506,4.22,80,0,4.12,US,1675648195
63,atuona,-9.8,-139.0333,26.09,74,27,7.63,PF,1675647904
64,erenhot,43.6475,111.9767,-7.73,43,14,1.89,CN,1675648196
65,guerrero negro,27.9769,-114.0611,15.6,81,97,7.41,MX,1675648196
66,gat,31.61,34.7642,13.0,15,3,7.35,IL,1675648196
67,vrangel,42.7297,133.0839,-2.85,52,6,3.2,RU,1675648196
68,dikson,73.5069,80.5464,-17.73,96,100,1.56,RU,1675648197
69,kulhudhuffushi,6.6221,73.07,26.88,73,52,1.15,MV,1675648197
70,najran,17.4924,44.1277,14.36,46,85,1.16,SA,1675648198
71,busselton,-33.65,115.3333,24.44,55,0,5.52,AU,1675647940
72,port alfred,-33.5906,26.891,22.32,94,85,4.09,ZA,1675647947
73,jumla,29.2747,82.1838,3.61,42,0,2.04,NP,1675648198
74,pahrump,36.2083,-115.9839,12.92,28,70,2.24,US,1675648198
75,pisco,-13.7,-76.2167,24.03,83,0,5.14,PE,1675648198
76,hoquiam,46.9809,-123.8893,8.33,87,100,6.69,US,1675648199
77,sabang,5.8933,95.3214,27.56,69,85,4.39,ID,1675648199
78,puerto ayora,-0.7393,-90.3518,26.42,90,42,3.58,EC,1675648199
79,tilichiki,60.4667,166.1,-24.83,94,13,3.47,RU,1675648200
80,yatou,37.15,122.3833,6.18,68,91,1.38,CN,1675648200
81,clyde river,70.4692,-68.5914,-29.87,69,0,3.6,CA,1675648200
82,iqaluit,63.7506,-68.5145,-26.84,68,75,4.63,CA,1675648201
83,dingle,10.9995,122.6711,27.59,77,93,4.98,PH,1675648201
84,klaksvik,62.2266,-6.589,9.51,88,100,14.95,FO,1675648201
85,khatanga,71.9667,102.5,-36.96,100,48,2.9,RU,1675648202
86,vila velha,-20.3297,-40.2925,26.97,83,0,5.66,BR,1675648202
87,port blair,11.6667,92.75,27.02,83,40,2.06,IN,1675648202
88,saint-philippe,-21.3585,55.7679,24.77,83,94,4.71,RE,1675648203
89,bembereke,10.2283,2.6634,25.09,18,77,2.14,BJ,1675648203
90,san cristobal,7.7669,-72.225,22.1,91,10,1.0,VE,1675648203
91,lumsden,50.6501,-104.8678,-1.11,85,100,5.63,CA,1675648204
92,mahon,39.8885,4.2658,11.31,62,75,8.75,ES,1675648204
93,jamestown,42.097,-79.2353,5.57,76,100,5.14,US,1675648035
94,butler,39.4501,-84.5666,8.54,70,100,1.34,US,1675648205
95,thiruvananthapuram,8.4833,76.9167,25.99,83,40,1.03,IN,1675648205
96,eyl,7.9803,49.8164,22.35,84,77,5.17,SO,1675648205
97,baykit,61.67,96.37,-19.23,100,94,1.38,RU,1675648206
98,biak,-0.9131,122.8766,26.85,69,89,1.66,ID,1675648206
99,usagara,-2.6833,33.0,18.94,78,66,0.29,TZ,1675648207
100,kaitangata,-46.2817,169.8464,19.0,59,69,6.46,NZ,1675648207
101,jalu,29.0331,21.5482,11.93,45,100,6.33,LY,1675648207
102,mantua,45.1667,10.7833,4.64,83,45,0.89,IT,1675648020
103,bredasdorp,-34.5322,20.0403,20.3,90,51,4.75,ZA,1675648208
104,port-gentil,-0.7193,8.7815,27.19,78,99,4.64,GA,1675648208
105,bambous virieux,-20.3428,57.7575,25.68,88,40,1.54,MU,1675648208
106,sao filipe,14.8961,-24.4956,20.47,64,37,7.06,CV,1675648209
